id,question,choices,explanation,answer
1,"Một người bán hàng bỏ ra 80,000 đồng tiền vốn và bị lỗ 6%. Để tính số tiền lỗ ta phải tính","['A. 80,000 : 6', 'B. 80,000 x 6', 'C. 80,000 : (6 x 100)', 'D. (80,000 x 6) : 100']","Theo đề bài, số tiền lỗ bằng 6% của 80 000 đồng . Để tìm số tiền lỗ ta có thể lấy 80 000 chia cho 100 rồi nhân với 6 (tức là 80 000 : 100 × 6) hoặc lấy 80000 nhân với 6 rồi chia cho 100 (tức là 80 000 × 6 : 100).","D. (80,000 x 6) : 100"
10,8 dm2 24 cm2 = ……… dm2. Số thích hợp điền vào chỗ chấm là:,"['A. 824', 'B. 82,4', 'C. 8,24', 'D. 0,824']","Ta có 24 cm2 = 0,24 dm2
 Vậy 8 dm2 24 cm2 = 8,24 dm2.","C. 8,24"
100,"10% của 11,5m2 là:","['A. 10,15dm2', 'B. 1,5m2', 'C. 15,5m2', 'D. 1,15m2']","10% của 11,5m2 là: 11,5 ${\times}$ 10 : 100 = 1,15 (m2).","D. 1,15m2"
1004,"Một tam giác có đáy bằng 15 cm và gấp 2,5 lần chiều cao tương ứng. Diện tích tam giác đó là:","['A. 90 cm2', 'B. 37,5 cm2', 'C. 45 cm2', 'D. 18,75 cm2']","Chiều cao của tam giác đó là: 15 : 2,5 = 6 (cm)
 Diện tích tam giác đó là: 15 ${\times}$ 6 : 2 = 45 (cm2) 
 Đáp số: 45 cm2",C. 45 cm2
1005,"Một tấm thiệp hình chữ nhật có chiều rộng bằng 9 cm, chiều dài gấp 2 lần chiều rộng. Vậy điện tích của tấm thiệp đó là:","['A. 162 cm2', 'B. 81 cm2', 'C. 99 cm2', 'D. 63 cm2']","Chiều dài hình chữ nhật là: 9 ${\times}$ 2 = 18 (cm)
 Diện tích của tấm thiệp đó là:18 ${\times}$ 9 = 162 (cm2)
 Đáp số: 162 cm2",A. 162 cm2
101,10% của 5dm là:,"['A. 0,5 m', 'B. 5 dm', 'C. 5 cm', 'D. 50 cm']",,C. 5 cm
1016,"Một vườn có 500 cây ăn quả, trong đó có 300 cây xoài và 200 cây nhãn. Vậy tỉ số giữa cây xoài và cây nhãn trong vườn là:","['A. $\\frac{3}{2}$', 'B. $\\frac{2}{3}$', 'C. $\\frac{1}{2}$', 'D. $\\frac{1}{4}$']",Tỉ số giữa cây xoài và cây nhãn trong vườn là: $\frac{300}{200}=\frac{3}{2}$,A. $\frac{3}{2}$
102,10% của 8 dm là,"['A. 10 cm', 'B. 70 cm', 'C. 8 cm', 'D. 0,8 cm']",,C. 8 cm
1021,Một xe máy đi quãng đường dài 90km mất 2 giờ 15 phút. Vận tốc của xe máy là:,"['A. 40 km/giờ', 'B. 202,5 km/giờ', 'C. 30 km/giờ', 'D. 36 km/giờ']","Đổi 2 giờ 15 phút = 2,25 giờ
 Vận tốc của xe máy là: 90 : 2,25 = 40 (km/giờ)",A. 40 km/giờ
1026,"Một xưởng may đã dùng hết 350 m vải để may quần áo, trong đó số vải may quần chiếm 60%. Vậy số vải may áo là:","['A. 210 m', 'B. 140 m', 'C. 150 m', 'D. 180 m']","Số vải may quần là:350 ${\times}$ 60 : 100 = 210 (m vải) 
 Số vải may áo là:350 – 210 = 140 (m vải)",B. 140 m
1027,"Một xưởng may trong tuần thứ nhất thực hiện được 3/8 kế hoạch tháng, tuần thứ hai thực hiện được 3/16 kế hoạch, trong tuần thứ ba thực hiện được 1/3 kế hoạch. Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện bao nhiêu phần kế hoạch?","['A. 5/48', 'B. 43/48', 'C. 11/48', 'D. 27/48']","Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện:
 1 − ( 3/8 + 3/16 + 1/3) = 5/48 (kế hoạch)",A. 5/48
103,12m2 35dm2 = …… m2. Số thích hợp để điền vào chỗ chấm là:,"['A. 1235', 'B. 12,35', 'C. 123,5', 'D. 1,235']",,"B. 12,35"
1030,"Mua 10 kg hết 82 000 đồng. Vậy mua 2,5 kg gạo như vậy hết số tiền là:","['A. 18 000 đồng', 'B. 20 500 đồng', 'C. 205 000 đồng', 'D. 164 000 đồng']","Mua 2,5 kg gạo như vậy hết số tiền là: 82 000 : 10 ${\times}$ 2,5 = 20 500 (đồng)
 Đáp số: 20 500 đồng",B. 20 500 đồng
1031,Mua 12 quyển vở hết 60 000 đồng. Hỏi mua 20 quyển vở như thế hết số tiền là:,"['A. 100 000 đồng', 'B. 160 000 đồng', 'C. 180 000 đồng', 'D. 120 000 đồng']","Mua mỗi quyển vở hết số tiền là: 60 000 : 12 = 5 000 (đồng)
 Mua 20 quyển vở như thế hết số tiền là: 5 000 ${\times}$ 20 = 100 000 (đồng)
 Đáp số: 100 000 đồng",A. 100 000 đồng
1032,Mua 15 cái bút hết 45 000 đồng. Vậy mua 40 cái bút hết số tiền là:,"['A. 120 000 đồng', 'B. 240 000 đồng', 'C. 675 000 đồng', 'D. 15 000 đồng']","Mua 1 cái bút hết số tiền là: 45 000 : 15 = 3 000 (đồng)
 Mua 40 cái bút hết số tiền là: 3 000 ${\times}$ 40 = 120 000 (đồng)
 Đáp số: 120 000 đồng",A. 120 000 đồng
1037,My nhặt được 25 vỏ chai nhựa. An mang 4 vỏ chai nhựa ở nhà đưa thêm cho My. Số vỏ chai nhựa My có tất cả là:,"['A. 25 vỏ chai', 'B. 21 vỏ chai', 'C. 29 vỏ chai', 'D. 65 vỏ chai']","Số vỏ chai nhựa My có tất cả là:
 25 + 4 = 29 (vỏ chai)",C. 29 vỏ chai
104,12m7dm = … dm. Số thích hợp điền vào chỗ chấm là:,"['A. 1 207 dm', 'B. 127 dm', 'C. 1 270 dm', 'D. 1 027 dm']",,B. 127 dm
1045,Nam mua 5 quyển vở và đưa cô bán hàng tờ 100 000 đồng. Cô bán hàng trả lại Nam 35 000 đồng. Vậy mỗi quyển vở Nam mua có giá là:,"['A.13 000 đồng', 'B.15 000 đồng', 'C.16 000 đồng', 'D.18 000 đồng']","Số tiền Nam mua 5 quyển vở là: 100 000 – 35 000 = 65 000 (đồng)
 Mỗi quyển vở Nam mua có giá là: 65 000 : 5 = 13 000 (đồng)
 Đáp số: 13 000 đồng",A.13 000 đồng
1049,"Năm nay mẹ 36 tuổi, tuổi của con bằng tuổi của mẹ giảm đi 4 lần. Hỏi năm nay con mấy tuổi?","['A. 6 tuổi', 'B. 7 tuổi', 'C. 10 tuổi', 'D. 9 tuổi']",Tuổi của con năm nay là: 36 : 4 = 9 (tuổi),D. 9 tuổi
105,15 là tổng của:,"['A. 6 và 7', 'B. 25 và 10', 'C. 9 và 6', 'D. 8 và 8']","Ta có:
 6 + 7 = 13
 15 + 10 = 35
 9 + 6 = 15
 8 + 8 = 16
 Vậy15 là tổng của: 9 và 6",C. 9 và 6
1050,"Năm nay, An 12 tuổi. Bình ít hơn An 4 tuổi. Số tuổi của Bình là:","['A. 8 tuổi', 'B. 16 tuổi', 'C. 9 tuổi', 'D. 7 tuổi']","Số tuổi của Bình là:
 12 – 4 = 8 (tuổi)",A. 8 tuổi
